# PWL
# time in ms           power in % (-100...+100)
0.0                    0
0.1                    100
7.9                    100
8.2                    100
8.5                    99
8.7                    98
8.8                    98
8.9                    97
9.0                    96
9.1                    94
9.2                    92
9.3                    89
9.4                    84
9.5                    78
9.6                    69
9.7                    57
9.8                    39
9.9                    15
10.1                   -0
19.0                   -0
19.1                   -6
20.0                   -6
