# PWL
# time in ms           power in % (-100...+100)
0.0                    0
0.1                    100
4.3                    100
7.1                    99
8.3                    98
9.3                    97
10.2                   96
11.0                   95
11.8                   94
12.5                   92
13.2                   90
13.8                   87
14.4                   84
15.0                   81
15.5                   77
16.0                   73
16.3                   71
16.6                   67
16.9                   64
17.2                   60
17.5                   56
17.7                   53
18.0                   48
18.2                   44
18.5                   38
18.7                   34
18.9                   30
19.1                   25
19.3                   20
19.5                   14
19.7                   8
19.9                   2
20.1                   -80
22.9                   -79
25.1                   -79
27.0                   -77
28.6                   -76
30.1                   -74
30.8                   -73
31.4                   -71
32.0                   -70
32.6                   -68
33.1                   -66
33.6                   -64
34.1                   -62
34.6                   -60
35.1                   -57
35.5                   -54
36.0                   -51
36.4                   -48
36.8                   -44
37.2                   -41
37.7                   -35
38.1                   -31
38.4                   -27
38.6                   -24
39.0                   -18
39.1                   0
40.0                   0
