# PWL
# direction=open  move=4.0%  hold=5.0%  move_ms=400.0ms  taper=10.0ms
# time in ms           power in % (-100...+100)
0.0000                 4.00
400.0000               4.00
400.2500               4.00
400.5000               4.01
400.7500               4.02
401.0000               4.03
401.2500               4.04
401.5000               4.06
401.7500               4.08
402.0000               4.10
402.2500               4.13
402.5000               4.16
402.7500               4.19
403.0000               4.22
403.2500               4.25
403.5000               4.28
403.7500               4.32
404.0000               4.35
404.2500               4.39
404.5000               4.43
404.7500               4.46
405.0000               4.50
405.2500               4.54
405.5000               4.57
405.7500               4.61
406.0000               4.65
406.2500               4.68
406.5000               4.72
406.7500               4.75
407.0000               4.78
407.2500               4.81
407.5000               4.84
407.7500               4.87
408.0000               4.90
408.2500               4.92
408.5000               4.94
408.7500               4.96
409.0000               4.97
409.2500               4.98
409.5000               4.99
409.7500               5.00
410.0000               5.00
411.0000               5.00
