# PWL
# direction=open  move=15.0%  hold=10.0%  move_ms=200.0ms  taper=10.0ms
# time in ms           power in % (-100...+100)
0.0000                 15.00
200.0000               15.00
200.2500               14.99
200.5000               14.96
200.7500               14.92
201.0000               14.86
201.2500               14.79
201.5000               14.70
201.7500               14.59
202.0000               14.48
202.2500               14.35
202.5000               14.22
202.7500               14.07
203.0000               13.92
203.2500               13.76
203.5000               13.59
203.7500               13.42
204.0000               13.24
204.2500               13.06
204.5000               12.87
204.7500               12.69
205.0000               12.50
205.2500               12.31
205.5000               12.13
205.7500               11.94
206.0000               11.76
206.2500               11.58
206.5000               11.41
206.7500               11.24
207.0000               11.08
207.2500               10.93
207.5000               10.78
207.7500               10.65
208.0000               10.52
208.2500               10.41
208.5000               10.30
208.7500               10.21
209.0000               10.14
209.2500               10.08
209.5000               10.04
209.7500               10.01
210.0000               10.00
211.0000               10.00
