# PWL
# direction=close  move=-25.0%  hold=-25.0%  move_ms=400.0ms  taper=10.0ms
# time in ms           power in % (-100...+100)
0.0000                 -25.00
400.0000               -25.00
400.2500               -25.00
400.5000               -25.00
400.7500               -25.00
401.0000               -25.00
401.2500               -25.00
401.5000               -25.00
401.7500               -25.00
402.0000               -25.00
402.2500               -25.00
402.5000               -25.00
402.7500               -25.00
403.0000               -25.00
403.2500               -25.00
403.5000               -25.00
403.7500               -25.00
404.0000               -25.00
404.2500               -25.00
404.5000               -25.00
404.7500               -25.00
405.0000               -25.00
405.2500               -25.00
405.5000               -25.00
405.7500               -25.00
406.0000               -25.00
406.2500               -25.00
406.5000               -25.00
406.7500               -25.00
407.0000               -25.00
407.2500               -25.00
407.5000               -25.00
407.7500               -25.00
408.0000               -25.00
408.2500               -25.00
408.5000               -25.00
408.7500               -25.00
409.0000               -25.00
409.2500               -25.00
409.5000               -25.00
409.7500               -25.00
410.0000               -25.00
411.0000               -25.00
