# PWL
# time in ms           power in % (-100...+100)
0.0                    0
0.1                    80
1.6                    78
3.1                    77
4.4                    75
5.7                    73
6.9                    70
8.1                    67
9.2                    64
10.3                   61
11.3                   58
12.3                   54
13.3                   49
14.2                   45
15.1                   40
15.9                   35
16.7                   29
17.5                   23
18.1                   18
18.7                   13
19.3                   7
19.9                   1
20.1                   -80
21.9                   -78
23.5                   -76
25.0                   -74
26.5                   -71
27.8                   -68
29.1                   -65
30.3                   -61
31.5                   -57
32.2                   -54
32.8                   -52
33.4                   -49
34.0                   -46
34.6                   -43
35.2                   -39
35.8                   -36
36.3                   -32
37.0                   -27
37.7                   -22
38.4                   -16
39.0                   -10
39.1                   -5
40.0                   -5
