# PWL
# time in ms           power in % (-100...+100)
0.0                    0
0.1                    100
4.2                    100
7.0                    99
8.2                    98
9.2                    98
10.1                   97
10.9                   95
11.7                   94
12.4                   92
13.1                   90
13.7                   88
14.3                   85
14.8                   82
15.3                   79
15.8                   75
16.3                   70
16.7                   66
17.1                   62
17.3                   59
17.7                   54
17.9                   50
18.1                   47
18.3                   43
18.5                   39
18.7                   35
18.9                   31
19.2                   23
19.4                   18
19.6                   12
19.8                   6
19.9                   3
20.0                   -80
23.7                   -80
24.0                   -79
24.8                   -75
26.0                   -69
26.7                   -65
27.4                   -61
28.1                   -56
28.8                   -51
29.5                   -46
30.1                   -41
30.7                   -36
31.3                   -31
32.0                   -24
32.7                   -17
32.8                   -6
33.7                   -6
