# PWL
# time in ms           power in % (-100...+100)
0.0                    0
0.1                    100
3.8                    100
6.7                    99
7.9                    98
8.9                    98
9.8                    97
10.7                   96
11.5                   94
12.2                   93
12.9                   91
13.5                   89
14.1                   86
14.7                   83
15.2                   80
15.7                   76
16.2                   72
16.6                   67
16.9                   64
17.1                   61
17.5                   56
17.8                   51
18.0                   48
18.2                   44
18.4                   40
18.6                   36
18.8                   32
19.0                   27
19.2                   22
19.4                   17
19.6                   11
19.8                   5
19.9                   2
20.1                   -80
22.7                   -79
24.9                   -79
26.7                   -78
28.3                   -76
29.7                   -74
31.0                   -72
31.6                   -71
32.2                   -69
32.7                   -68
33.2                   -66
33.7                   -64
34.2                   -62
34.7                   -59
35.1                   -57
35.5                   -54
35.9                   -52
36.3                   -49
36.7                   -45
37.0                   -43
37.3                   -40
37.6                   -36
37.9                   -33
38.2                   -29
38.5                   -25
38.8                   -21
39.0                   -18
39.1                   -6
40.0                   -6
